bioguide,name,chamber,party,state,district,industry_labels,policy_topics,committees,subcommittees,official_url
C001117,Sean Casten,House,Democrat,IL,6,"[""Asset management"", ""Banking"", ""Brokerage"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Fintech"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Regional banking"", ""Securities exchanges""]","[""Bank regulation"", ""Capital markets regulation"", ""Consumer financial protection"", ""Financial regulation""]","[""House Committee on Financial Services"", ""Joint Economic Committee""]","[""Capital Markets"", ""Financial Institutions"", ""National Security, Illicit Finance, and International Financial Institutions""]",https://casten.house.gov
M001223,Seth Magaziner,House,Democrat,RI,2,"[""Cloud security"", ""Cybersecurity"", ""Electric-grid infrastructure"", ""Forestry"", ""Gold"", ""Identity security"", ""Iron ore"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Silver"", ""Specialty minerals"", ""Telecom infrastructure"", ""Water infrastructure"", ""Water utilities""]","[""Critical infrastructure cybersecurity"", ""Federal energy resources"", ""Fisheries"", ""Homeland security"", ""Mining policy"", ""Natural resources policy"", ""Public lands"", ""Water policy"", ""Wildlife""]","[""House Committee on Homeland Security"", ""House Committee on Natural Resources""]","[""Counterterrorism and Intelligence"", ""Cybersecurity and Infrastructure Protection"", ""Energy and Mineral Resources"", ""Water, Wildlife and Fisheries""]",https://magaziner.house.gov
M001196,Seth Moulton,House,Democrat,MA,6,"[""Aerospace & defense"", ""Artificial intelligence"", ""Cloud computing"", ""Cybersecurity"", ""Defense electronics"", ""Defense software"", ""Defense systems"", ""Defense technology"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Missile systems"", ""Nuclear technology"", ""Oil & gas pipelines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Space systems"", ""Transit systems"", ""Transportation infrastructure""]","[""Defense IT"", ""Defense cybersecurity"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Military AI"", ""Military procurement"", ""Military space"", ""Missile defense"", ""National defense"", ""Nuclear deterrence"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Transportation policy""]","[""House Committee on Armed Services"", ""House Committee on Transportation and Infrastructure"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Cyber, Information Technologies, and Innovation"", ""Highways and Transit"", ""Railroads, Pipelines, and Hazardous Materials"", ""Strategic Forces""]",https://moulton.house.gov
D000629,Sharice Davids,House,Democrat,KS,3,"[""Aerospace systems"", ""Agriculture"", ""Air freight"", ""Aircraft manufacturing"", ""Animal health"", ""Animal nutrition"", ""Biotechnology"", ""Broad commodities"", ""Commercial aerospace"", ""Commercial banking"", ""Farm supplies"", ""Infrastructure construction"", ""Packaged foods"", ""Passenger airlines"", ""Risk management"", ""Transit systems"", ""Transportation infrastructure""]","[""Agricultural biotechnology"", ""Agricultural policy"", ""Agricultural research"", ""Agricultural risk management"", ""Aviation safety"", ""Conservation"", ""FAA policy"", ""Farm credit"", ""Food policy"", ""Highway policy"", ""Infrastructure policy"", ""Public transit"", ""Rural development"", ""Transportation policy""]","[""House Committee on Agriculture"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Conservation, Research, and Biotechnology"", ""General Farm Commodities, Risk Management, and Credit"", ""Highways and Transit""]",https://davids.house.gov
B001325,Sheri Biggs,House,Republican,SC,3,"[""Advanced materials"", ""Artificial intelligence"", ""Battery storage"", ""Clean energy"", ""Commercial aerospace"", ""Electric utilities"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Logistics"", ""Maritime transportation"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Passenger airlines"", ""Power generation"", ""Power transmission"", ""Quantum technology"", ""Robotics & AI"", ""Semiconductors"", ""Solar energy"", ""Space launch"", ""Space systems"", ""Wind energy""]","[""Emerging technology"", ""Energy infrastructure"", ""Energy regulation"", ""Energy research"", ""Federal R&D"", ""Grid reliability"", ""Maritime security"", ""Science policy"", ""Space policy"", ""Technology policy"", ""Transportation security""]","[""House Committee on Foreign Affairs"", ""House Committee on Homeland Security"", ""House Committee on Science, Space, and Technology""]","[""Border Security and Enforcement"", ""East Asia and Pacific"", ""Energy"", ""Research and Technology"", ""Transportation and Maritime Security"", ""Western Hemisphere""]",https://sheribiggs.house.gov
F000481,Shomari Figures,House,Democrat,AL,2,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Environmental services"", ""Farm supplies"", ""Food brands"", ""Futures-based commodity exposure"", ""Infrastructure construction"", ""Packaged foods"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Agricultural policy"", ""Agricultural trade"", ""Commodity markets"", ""Digital asset policy"", ""Environmental infrastructure"", ""Food policy"", ""Highway policy"", ""Infrastructure policy"", ""Nutrition policy"", ""Public transit"", ""Rural development"", ""Transportation policy"", ""Water resources""]","[""House Committee on Agriculture"", ""House Committee on Transportation and Infrastructure""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Economic Development, Public Buildings, and Emergency Management"", ""Highways and Transit"", ""Nutrition and Foreign Agriculture"", ""Water Resources and Environment""]",https://figures.house.gov
B001313,Shontel M. Brown,House,Democrat,OH,11,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Commercial banking"", ""Farm supplies"", ""Food brands"", ""Packaged foods"", ""Risk management""]","[""Agricultural policy"", ""Agricultural risk management"", ""Agricultural trade"", ""Farm credit"", ""Food policy"", ""Nutrition policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on Oversight and Government Reform"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Cybersecurity, Information Technology, and Government Innovation"", ""General Farm Commodities, Risk Management, and Credit"", ""Nutrition and Foreign Agriculture""]",https://shontelbrown.house.gov
T000488,Shri Thanedar,House,Democrat,MI,13,"[""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Farm supplies"", ""Futures-based commodity exposure"", ""Packaged foods""]","[""Agricultural policy"", ""Commodity markets"", ""Digital asset policy"", ""Food policy"", ""Rural development""]","[""House Committee on Agriculture"", ""House Committee on Homeland Security""]","[""Commodity Markets, Digital Assets, and Rural Development"", ""Oversight, Investigations, and Accountability""]",https://thanedar.house.gov
P000610,Stacey E. Plaskett,House,Democrat,VI,0,"[""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""Cyber intelligence"", ""National security""]","[""House Committee on Ways and Means"", ""House Committee on the Budget"", ""House Permanent Select Committee on Intelligence""]","[""Defense Intelligence and Overhead Architecture"", ""National Intelligence Enterprise"", ""Social Security"", ""Tax""]",https://plaskett.house.gov
H000874,Steny H. Hoyer,House,Democrat,MD,5,"[""Asset management"", ""Banking"", ""Biotechnology"", ""Consumer finance"", ""Education services"", ""Fintech"", ""Health insurance"", ""Healthcare services"", ""Insurance"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals"", ""Securities exchanges""]","[""Education appropriations"", ""Federal appropriations"", ""Financial regulation appropriations"", ""Health appropriations"", ""Labor policy""]","[""House Committee on Appropriations""]","[""Financial Services and General Government"", ""Labor, Health and Human Services, Education, and Related Agencies"", ""Legislative Branch""]",https://hoyer.house.gov
B000740,Stephanie I. Bice,House,Republican,OK,5,"[""Biotechnology"", ""Commercial aerospace"", ""Education services"", ""Health insurance"", ""Healthcare services"", ""Infrastructure construction"", ""Medical devices"", ""Medical diagnostics"", ""Multifamily residential REIT"", ""Pharmaceuticals"", ""Rail equipment"", ""Residential real estate"", ""Transportation infrastructure""]","[""Education appropriations"", ""Federal appropriations"", ""Health appropriations"", ""Housing policy"", ""Labor policy"", ""Military construction"", ""Transportation funding"", ""Veterans affairs""]","[""House Committee on Appropriations"", ""House Committee on House Administration""]","[""Labor, Health and Human Services, Education, and Related Agencies"", ""Military Construction, Veterans Affairs, and Related Agencies"", ""Modernization and Innovation"", ""Transportation, Housing and Urban Development, and Related Agencies""]",https://bice.house.gov
L000562,Stephen F. Lynch,House,Democrat,MA,8,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Brokerage"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Institutional investing"", ""Insurance"", ""Investment banking"", ""Market data"", ""Regional banking"", ""Securities exchanges""]","[""AI in financial services"", ""Bank regulation"", ""Capital markets regulation"", ""Consumer financial protection"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy""]","[""House Committee on Financial Services"", ""House Committee on Oversight and Government Reform""]","[""Capital Markets"", ""Delivering on Government Efficiency"", ""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Financial Institutions"", ""Military and Foreign Affairs""]",https://lynch.house.gov
C001068,Steve Cohen,House,Democrat,TN,9,"[""Cybersecurity"", ""Defense communications"", ""Defense electronics"", ""Satellite communications"", ""Space systems""]","[""Classified intelligence"", ""Cyber intelligence"", ""National security""]","[""House Committee on the Judiciary"", ""House Permanent Select Committee on Intelligence""]","[""Crime and Federal Government Surveillance"", ""Immigration Integrity, Security, and Enforcement"", ""National Security Agency and Cyber"", ""Open Source Intelligence"", ""The Constitution and Limited Government""]",https://cohen.house.gov
S001176,Steve Scalise,House,Republican,LA,1,[],[],[],[],https://scalise.house.gov
W000809,Steve Womack,House,Republican,AR,3,"[""Asset management"", ""Banking"", ""Commercial aerospace"", ""Consumer finance"", ""Defense aerospace"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Fintech"", ""Infrastructure construction"", ""Insurance"", ""Military drones"", ""Missile systems"", ""Multifamily residential REIT"", ""Rail equipment"", ""Residential real estate"", ""Securities exchanges"", ""Transportation infrastructure""]","[""Defense appropriations"", ""Federal appropriations"", ""Financial regulation appropriations"", ""Housing policy"", ""Military procurement"", ""Transportation funding""]","[""House Committee on Appropriations""]","[""Defense"", ""Financial Services and General Government"", ""Transportation, Housing and Urban Development, and Related Agencies""]",https://womack.house.gov
H001066,Steven Horsford,House,Democrat,NV,4,"[""Biotechnology"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Managed care"", ""Medical devices"", ""Medical diagnostics"", ""Pharmaceuticals""]","[""FDA policy"", ""Health insurance policy"", ""Health tax policy"", ""Medicare policy"", ""Public health policy""]","[""House Committee on Ways and Means""]","[""Health"", ""Social Security""]",https://horsford.house.gov
S001230,Suhas Subramanyam,House,Democrat,VA,10,"[""Advanced materials"", ""Artificial intelligence"", ""Battery storage"", ""Clean energy"", ""Commercial aerospace"", ""Electric utilities"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Power generation"", ""Power transmission"", ""Quantum technology"", ""Robotics & AI"", ""Semiconductors"", ""Solar energy"", ""Space launch"", ""Space systems"", ""Wind energy""]","[""Emerging technology"", ""Energy infrastructure"", ""Energy regulation"", ""Energy research"", ""Federal R&D"", ""Grid reliability"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Ethics"", ""House Committee on Oversight and Government Reform"", ""House Committee on Science, Space, and Technology""]","[""Cybersecurity, Information Technology, and Government Innovation"", ""Delivering on Government Efficiency"", ""Energy"", ""Military and Foreign Affairs"", ""Research and Technology""]",https://subramanyam.house.gov
L000602,Summer L. Lee,House,Democrat,PA,12,[],[],"[""House Committee on Education and Workforce"", ""House Committee on the Judiciary""]","[""Early Childhood, Elementary, and Secondary Education"", ""Health, Employment, Labor, and Pensions"", ""Immigration Integrity, Security, and Enforcement"", ""The Constitution and Limited Government""]",https://summerlee.house.gov
L000590,Susie Lee,House,Democrat,NV,3,"[""Defense aerospace"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Electric utilities"", ""Electric-grid infrastructure"", ""Forestry"", ""Gold"", ""Hydrogen energy"", ""Iron ore"", ""Military drones"", ""Mining royalties"", ""Missile systems"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Nuclear technology"", ""Oil exploration & production"", ""Silver"", ""Solar energy"", ""Specialty minerals"", ""Water infrastructure"", ""Water utilities"", ""Wind energy""]","[""Defense appropriations"", ""Energy appropriations"", ""Federal appropriations"", ""Federal energy resources"", ""Military procurement"", ""Mining policy"", ""Natural resources policy"", ""Public lands"", ""Water infrastructure funding""]","[""House Committee on Appropriations"", ""House Committee on Natural Resources""]","[""Defense"", ""Energy and Mineral Resources"", ""Energy and Water Development and Related Agencies"", ""Federal Lands""]",https://susielee.house.gov
D000617,Suzan K. DelBene,House,Democrat,WA,1,[],"[""Customs"", ""Tariffs"", ""Trade policy""]","[""House Committee on Ways and Means""]","[""Oversight"", ""Tax"", ""Trade""]",https://delbene.house.gov
B001278,Suzanne Bonamici,House,Democrat,OR,1,"[""Artificial intelligence"", ""Commercial aerospace"", ""Environmental services"", ""Hazardous-waste services"", ""Industrial pollution control"", ""Semiconductors"", ""Space launch"", ""Space systems"", ""Specialty chemicals"", ""Waste disposal"", ""Water treatment""]","[""Air quality"", ""Chemical regulation"", ""Environmental regulation"", ""Science policy"", ""Space policy"", ""Technology policy""]","[""House Committee on Education and Workforce"", ""House Committee on Science, Space, and Technology""]","[""Early Childhood, Elementary, and Secondary Education"", ""Environment"", ""Higher Education and Workforce Development"", ""Investigations and Oversight""]",https://bonamici.house.gov
K000400,Sydney Kamlager-Dove,House,Democrat,CA,37,"[""Artificial intelligence"", ""Cloud computing"", ""Digital advertising"", ""Enterprise software"", ""Semiconductors"", ""Social media""]","[""AI policy"", ""Intellectual property"", ""Internet policy""]","[""House Committee on Foreign Affairs"", ""House Committee on the Judiciary""]","[""Courts, Intellectual Property, Artificial Intelligence, and the Internet"", ""Crime and Federal Government Surveillance"", ""South and Central Asia"", ""Western Hemisphere""]",https://kamlager-dove.house.gov
G000587,Sylvia R. Garcia,House,Democrat,TX,29,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Consumer finance"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Mortgage technology"", ""Multifamily residential REIT"", ""Property & casualty insurance"", ""Residential real estate"", ""Securities exchanges""]","[""AI in financial services"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy"", ""Housing finance"", ""Insurance regulation""]","[""House Committee on Ethics"", ""House Committee on Financial Services""]","[""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Housing and Insurance""]",https://sylviagarcia.house.gov
L000582,Ted Lieu,House,Democrat,CA,36,"[""Artificial intelligence"", ""Cloud computing"", ""Digital advertising"", ""Enterprise software"", ""Semiconductors"", ""Social media""]","[""AI policy"", ""Intellectual property"", ""Internet policy""]","[""House Committee on Foreign Affairs"", ""House Committee on the Judiciary""]","[""Courts, Intellectual Property, Artificial Intelligence, and the Internet""]",https://lieu.house.gov
L000273,Teresa Leger Fernandez,House,Democrat,NM,3,"[""Forestry"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Specialty minerals""]","[""Natural resources policy"", ""Public lands""]","[""House Committee on Natural Resources"", ""House Committee on Rules""]","[""Federal Lands"", ""Indian and Insular Affairs"", ""Legislative and Budget Process""]",https://fernandez.house.gov
S001185,Terri A. Sewell,House,Democrat,AL,7,[],"[""Customs"", ""Tariffs"", ""Trade policy""]","[""House Committee on House Administration"", ""House Committee on Ways and Means"", ""Joint Committee on Printing""]","[""Elections"", ""Oversight"", ""Social Security"", ""Trade""]",https://sewell.house.gov
K000398,"Thomas H. Kean, Jr.",House,Republican,NJ,7,"[""Automotive components"", ""Biotechnology"", ""Broadband & cable"", ""Consumer electronics"", ""Digital media"", ""E-commerce"", ""Fiber broadband"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Industrial manufacturing"", ""Medical devices"", ""Medical diagnostics"", ""Networking equipment"", ""Pharmaceuticals"", ""Retail technology"", ""Satellite communications"", ""Telecommunications"", ""Wireless telecommunications""]","[""Broadband policy"", ""Consumer protection"", ""Energy policy"", ""FDA policy"", ""Health insurance policy"", ""Interstate commerce"", ""Manufacturing policy"", ""Public health"", ""Public health policy"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation"", ""Trade policy""]","[""House Committee on Energy and Commerce"", ""House Committee on Foreign Affairs""]","[""Commerce, Manufacturing, and Trade"", ""Communications and Technology"", ""Health"", ""Middle East and North Africa"", ""South and Central Asia""]",https://kean.house.gov
M001184,Thomas Massie,House,Republican,KY,4,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Artificial intelligence"", ""Cloud computing"", ""Commercial aerospace"", ""Digital advertising"", ""Enterprise software"", ""Environmental services"", ""Infrastructure construction"", ""Passenger airlines"", ""Semiconductors"", ""Social media"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""AI policy"", ""Aviation safety"", ""Environmental infrastructure"", ""FAA policy"", ""Highway policy"", ""Infrastructure policy"", ""Intellectual property"", ""Internet policy"", ""Public transit"", ""Transportation policy"", ""Water resources""]","[""House Committee on Transportation and Infrastructure"", ""House Committee on the Judiciary""]","[""Aviation"", ""Courts, Intellectual Property, Artificial Intelligence, and the Internet"", ""Highways and Transit"", ""The Constitution and Limited Government"", ""Water Resources and Environment""]",https://massie.house.gov
T000165,Thomas P. Tiffany,House,Republican,WI,7,"[""Forestry"", ""Gold"", ""Iron ore"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Silver"", ""Specialty minerals""]","[""Federal energy resources"", ""Mining policy"", ""Natural resources policy"", ""Public lands""]","[""House Committee on Natural Resources"", ""House Committee on the Judiciary""]","[""Crime and Federal Government Surveillance"", ""Energy and Mineral Resources"", ""Federal Lands"", ""Immigration Integrity, Security, and Enforcement""]",https://tiffany.house.gov
S001201,Thomas R. Suozzi,House,Democrat,NY,3,[],[],"[""House Committee on Ways and Means"", ""House Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party""]","[""Oversight"", ""Tax""]",https://suozzi.house.gov
B001309,Tim Burchett,House,Republican,TN,2,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Oil & gas pipelines"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Transit systems"", ""Transportation infrastructure""]","[""Aviation safety"", ""FAA policy"", ""Hazardous materials"", ""Highway policy"", ""Infrastructure policy"", ""Pipeline safety"", ""Public transit"", ""Rail safety"", ""Transportation policy""]","[""House Committee on Foreign Affairs"", ""House Committee on Oversight and Government Reform"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Delivering on Government Efficiency"", ""Government Operations"", ""Highways and Transit"", ""Middle East and North Africa"", ""Railroads, Pipelines, and Hazardous Materials"", ""South and Central Asia""]",https://burchett.house.gov
M001236,Tim Moore,House,Republican,NC,14,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Commercial banking"", ""Consumer banking"", ""Consumer finance"", ""Credit cards"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Regional banking"", ""Securities exchanges""]","[""AI in financial services"", ""Bank regulation"", ""Consumer financial protection"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy""]","[""House Committee on Financial Services"", ""House Committee on the Budget""]","[""Digital Assets, Financial Technology, and Artificial Intelligence"", ""Financial Institutions"", ""Oversight and Investigations""]",https://timmoore.house.gov
W000798,Tim Walberg,House,Republican,MI,5,"[""Forestry"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Specialty minerals"", ""Water infrastructure"", ""Water utilities""]","[""Fisheries"", ""Natural resources policy"", ""Public lands"", ""Water policy"", ""Wildlife""]","[""House Committee on Education and Workforce"", ""House Committee on Natural Resources""]","[""Indian and Insular Affairs"", ""Water, Wildlife and Fisheries""]",https://walberg.house.gov
K000402,Timothy M. Kennedy,House,Democrat,NY,26,"[""Commercial aerospace"", ""Logistics"", ""Maritime transportation"", ""Passenger airlines""]","[""Maritime security"", ""Transportation security""]","[""House Committee on Homeland Security"", ""House Committee on Veterans' Affairs""]","[""Economic Opportunity"", ""Emergency Management and Technology"", ""Oversight and Investigations"", ""Transportation and Maritime Security""]",https://kennedy.house.gov
B001321,Tom Barrett,House,Republican,MI,7,"[""Aerospace systems"", ""Air freight"", ""Aircraft manufacturing"", ""Commercial aerospace"", ""Infrastructure construction"", ""Passenger airlines"", ""Transit systems"", ""Transportation infrastructure""]","[""Aviation safety"", ""FAA policy"", ""Highway policy"", ""Infrastructure policy"", ""Public transit"", ""Transportation policy""]","[""House Committee on Transportation and Infrastructure"", ""House Committee on Veterans' Affairs""]","[""Aviation"", ""Economic Development, Public Buildings, and Emergency Management"", ""Economic Opportunity"", ""Highways and Transit"", ""Technology Modernization""]",https://barrett.house.gov
C001053,Tom Cole,House,Republican,OK,4,[],"[""Federal appropriations""]","[""House Committee on Appropriations""]",[],https://cole.house.gov
E000294,Tom Emmer,House,Republican,MN,6,"[""Artificial intelligence"", ""Asset management"", ""Banking"", ""Blockchain financial services"", ""Consumer finance"", ""Cryptocurrency exchange"", ""Digital assets"", ""Digital payments"", ""Fintech"", ""Insurance"", ""Securities exchanges""]","[""AI in financial services"", ""Digital asset regulation"", ""Financial regulation"", ""Fintech policy""]","[""House Committee on Financial Services""]","[""Digital Assets, Financial Technology, and Artificial Intelligence""]",https://emmer.house.gov
M001177,Tom McClintock,House,Republican,CA,5,"[""Forestry"", ""Mining royalties"", ""Natural-gas exploration & production"", ""Oil exploration & production"", ""Specialty minerals"", ""Water infrastructure"", ""Water utilities""]","[""Fisheries"", ""Natural resources policy"", ""Public lands"", ""Water policy"", ""Wildlife""]","[""House Committee on Natural Resources"", ""House Committee on the Budget"", ""House Committee on the Judiciary""]","[""Federal Lands"", ""Immigration Integrity, Security, and Enforcement"", ""The Constitution and Limited Government"", ""Water, Wildlife and Fisheries""]",https://mcclintock.house.gov
W000829,Tony Wied,House,Republican,WI,8,"[""Aerospace systems"", ""Agriculture"", ""Air freight"", ""Aircraft manufacturing"", ""Animal nutrition"", ""Broad commodities"", ""Commercial aerospace"", ""Environmental services"", ""Farm supplies"", ""Food brands"", ""Forestry"", ""Infrastructure construction"", ""Livestock health"", ""Packaged foods"", ""Passenger airlines"", ""Transit systems"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Agricultural policy"", ""Agricultural trade"", ""Aviation safety"", ""Dairy policy"", ""Environmental infrastructure"", ""FAA policy"", ""Food policy"", ""Forestry policy"", ""Highway policy"", ""Horticulture policy"", ""Infrastructure policy"", ""Livestock policy"", ""Nutrition policy"", ""Poultry policy"", ""Public transit"", ""Rural development"", ""Transportation policy"", ""Water resources""]","[""House Committee on Agriculture"", ""House Committee on Small Business"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Contracting and Infrastructure"", ""Forestry and Horticulture"", ""Highways and Transit"", ""Innovation, Entrepreneurship, and Workforce Development"", ""Livestock, Dairy, and Poultry"", ""Nutrition and Foreign Agriculture"", ""Rural Development, Energy, and Supply Chains"", ""Water Resources and Environment""]",https://wied.house.gov
M000871,Tracey Mann,House,Republican,KS,1,"[""Aerospace systems"", ""Agriculture"", ""Air freight"", ""Aircraft manufacturing"", ""Animal nutrition"", ""Broad commodities"", ""Commercial aerospace"", ""Cryptocurrency exchange"", ""Derivatives"", ""Digital assets"", ""Environmental services"", ""Farm supplies"", ""Food brands"", ""Futures-based commodity exposure"", ""Hazardous-waste services"", ""Infrastructure construction"", ""Livestock health"", ""Oil & gas pipelines"", ""Packaged foods"", ""Passenger airlines"", ""Pipeline construction"", ""Rail equipment"", ""Rail technology"", ""Transportation infrastructure"", ""Wastewater services"", ""Water infrastructure"", ""Water treatment""]","[""Agricultural policy"", ""Agricultural trade"", ""Aviation safety"", ""Commodity markets"", ""Dairy policy"", ""Digital asset policy"", ""Environmental infrastructure"", ""FAA policy"", ""Food policy"", ""Hazardous materials"", ""Infrastructure policy"", ""Livestock policy"", ""Nutrition policy"", ""Pipeline safety"", ""Poultry policy"", ""Rail safety"", ""Rural development"", ""Transportation policy"", ""Water resources""]","[""House Committee on Agriculture"", ""House Committee on Transportation and Infrastructure""]","[""Aviation"", ""Commodity Markets, Digital Assets, and Rural Development"", ""Livestock, Dairy, and Poultry"", ""Nutrition and Foreign Agriculture"", ""Railroads, Pipelines, and Hazardous Materials"", ""Water Resources and Environment""]",https://mann.house.gov
K000388,Trent Kelly,House,Republican,MS,1,"[""Aerospace & defense"", ""Agriculture"", ""Animal nutrition"", ""Broad commodities"", ""Cybersecurity"", ""Defense aerospace"", ""Defense communications"", ""Defense electronics"", ""Defense systems"", ""Defense technology"", ""Farm supplies"", ""Forestry"", ""Livestock health"", ""Naval nuclear propulsion"", ""Packaged foods"", ""Satellite communications"", ""Space systems""]","[""Agricultural policy"", ""Classified intelligence"", ""Cyber intelligence"", ""Dairy policy"", ""Food policy"", ""Forestry policy"", ""Horticulture policy"", ""Livestock policy"", ""Military intelligence"", ""Military procurement"", ""National defense"", ""National security"", ""Naval procurement"", ""Poultry policy"", ""Power projection"", ""Rural development"", ""Shipbuilding"", ""Special operations""]","[""House Committee on Agriculture"", ""House Committee on Armed Services"", ""House Permanent Select Committee on Intelligence""]","[""Central Intelligence Agency"", ""Forestry and Horticulture"", ""Intelligence and Special Operations"", ""Livestock, Dairy, and Poultry"", ""National Security Agency and Cyber"", ""Seapower and Projection Forces""]",https://trentkelly.house.gov
C001125,Troy A. Carter,House,Democrat,LA,2,"[""Biotechnology"", ""Broadband & cable"", ""Commercial aerospace"", ""Digital media"", ""Environmental services"", ""Fiber broadband"", ""Hazardous-waste services"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Industrial pollution control"", ""Logistics"", ""Maritime transportation"", ""Medical devices"", ""Medical diagnostics"", ""Networking equipment"", ""Passenger airlines"", ""Pharmaceuticals"", ""Satellite communications"", ""Specialty chemicals"", ""Telecommunications"", ""Waste disposal"", ""Water treatment"", ""Wireless telecommunications""]","[""Air quality"", ""Broadband policy"", ""Chemical regulation"", ""Consumer protection"", ""Energy policy"", ""Environmental regulation"", ""FDA policy"", ""Health insurance policy"", ""Interstate commerce"", ""Maritime security"", ""Public health"", ""Public health policy"", ""Spectrum policy"", ""Telecommunications policy"", ""Telecommunications regulation"", ""Transportation security""]","[""House Committee on Energy and Commerce"", ""House Committee on Homeland Security""]","[""Communications and Technology"", ""Environment"", ""Health"", ""Oversight, Investigations, and Accountability"", ""Transportation and Maritime Security""]",https://troycarter.house.gov
B001306,Troy Balderson,House,Republican,OH,12,"[""Battery storage"", ""Biotechnology"", ""Electric utilities"", ""Health insurance"", ""Healthcare services"", ""Healthcare software"", ""Hydrogen energy"", ""Integrated oil & gas"", ""Medical devices"", ""Medical diagnostics"", ""Natural-gas exploration & production"", ""Nuclear power"", ""Oil & gas pipelines"", ""Pharmaceuticals"", ""Power generation"", ""Power transmission"", ""Solar energy"", ""Wind energy""]","[""Consumer protection"", ""Energy infrastructure"", ""Energy policy"", ""Energy regulation"", ""FDA policy"", ""Grid reliability"", ""Health insurance policy"", ""Interstate commerce"", ""Public health"", ""Public health policy"", ""Telecommunications policy""]","[""House Committee on Energy and Commerce""]","[""Energy"", ""Health"", ""Oversight and Investigations""]",https://balderson.house.gov
